project,version,repetition,nsga_time,ltga_time,nsga_igd,ltga_igd,nsga_hv,ltga_hv,nsga_faults,ltga_faults
flex,v3,1,9.600458000000344,12.22589700000026,0.07278751965566617,0.02162776823112686,0.9779243687370408,0.986178773974459,0.6799485601046465,0.6827947140087129
flex,v3,2,10.319671000000199,12.78908999999976,0.09369920650646467,0.033379165759180394,0.9715369916043443,0.987580519158975,0.6777239505560263,0.6833663962305461
flex,v3,3,9.678617000000031,12.648564999999962,0.03229876853102253,0.033918647082044374,0.9828822837857442,0.9839837889046784,0.6816646423287617,0.6821904874568124
flex,v3,4,9.256845999999769,11.9524550000001,0.07213438092685087,0.0479404444714253,0.9816362748291795,0.9820357039671752,0.6812143891195136,0.6817436866377415
flex,v3,5,9.507835000000341,12.67505200000005,0.0681930840646719,0.04498637543469407,0.9801331810377055,0.9823993987943601,0.6807337440805808,0.6816969391406106
flex,v3,6,9.743505999999797,12.324719000000186,0.05514181602646308,0.04608359715381478,0.9778955727429866,0.9865231381676894,0.6799600219795625,0.6829981888733874
flex,v3,7,9.790003999999954,11.916207000000213,0.03645156409340233,0.04911530947262849,0.9841145384263963,0.9812013215999666,0.682099453629966,0.6814036115810758
flex,v3,8,7.647087000000283,10.143585000000257,0.09542010954981753,0.025869507922865215,0.9770822722309583,0.9894365375401307,0.6796461909114182,0.6839160013140118
flex,v3,9,7.947316999999202,12.844622000000527,0.08465173263852699,0.03496199003633916,0.9763924950821016,0.9861034686848457,0.6794318851548691,0.6828089457566526
flex,v3,10,8.518654999999853,11.79198599999927,0.04905273361128285,0.04753800821544559,0.977847849332054,0.9857331195017992,0.6799598047418821,0.6829871343895095
flex,v3,11,8.431397999999717,12.030823999999484,0.038594173720230426,0.04892018173803883,0.9823993063713737,0.9785294329573174,0.6815529224987998,0.6810456803981721
flex,v3,12,8.068584999999985,10.702774999999747,0.029894932197184608,0.029723563171678454,0.9844410225678925,0.9880538540707866,0.6822386908238622,0.6835782017397833
flex,v3,13,8.013636000000588,11.860249000000294,0.03913086618643515,0.034986401698223514,0.9804477839985491,0.9857516318970648,0.6808171622006923,0.6827039692384012
flex,v3,14,8.563321999999971,11.213635000000068,0.043028479211629535,0.01692900285423751,0.9806798687804766,0.9915229582569374,0.6808912143762442,0.6846700951999971
flex,v3,15,8.244085999999697,11.72440700000061,0.02621538312065176,0.027927263866224603,0.9867448258156916,0.9863875954757602,0.6829581658804241,0.6829036042542304
flex,v3,16,8.388781999999992,11.058333000000857,0.030266612053377214,0.03246052101927849,0.9848914643775895,0.9849671765958837,0.6823811482067587,0.6824099115290709
flex,v3,17,8.130996999999297,10.833388000000014,0.054685698803816275,0.046678836941811096,0.9820393472597029,0.9843863588080104,0.6813790254245258,0.6821964874798669
flex,v3,18,7.655895000000783,11.432010000000446,0.03434813802178358,0.04760773092646201,0.9842236800829283,0.9863192528797332,0.6821145282401371,0.6828819573110242
flex,v3,19,8.358940999999504,11.794721999999638,0.06561100533276104,0.05810536385209488,0.9775672193238992,0.9820412111120902,0.6798305679874301,0.6815442035850178
flex,v3,20,7.940598000000136,10.788798999999926,0.06382701179896848,0.03228682724969338,0.9808421274015052,0.9850567016240829,0.6809559056294225,0.6826535535039859
